table,column,data_type,format_example,unit,nullable,source,sdk_field,description,validation_rules,notes
sport_session,sport_count,INT32,1,count,NULLABLE,Android SDK,SportPlusEntity.mSportCount (int). Meaning varies by sport type.,"Repetition count (e.g. rope skips, swim laps). Sport-type dependent.",Range: 0–100000.,
sport_session,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
sport_session,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at sync time,Max 32 chars.,
sport_session,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
sport_type_map,sport_type_code,INT16,1,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,GPS running,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,2,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,GPS cycling,Read-only reference. category: Cycling,
sport_type_map,sport_type_code,INT16,3,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,GPS walking,Read-only reference. category: Walking,
sport_type_map,sport_type_code,INT16,4,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Indoor running,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,5,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Rope skipping,Read-only reference. category: Other,
sport_type_map,sport_type_code,INT16,6,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Swimming,Read-only reference. category: Swimming,
sport_type_map,sport_type_code,INT16,7,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Outdoor running,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,8,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Hiking,Read-only reference. category: Walking,
sport_type_map,sport_type_code,INT16,9,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Cycling,Read-only reference. category: Cycling,
sport_type_map,sport_type_code,INT16,10,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Other,Read-only reference. category: Other,
sport_type_map,sport_type_code,INT16,20,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Climbing,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,21,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Badminton,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,22,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Yoga,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,23,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Aerobics,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,24,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Spinning,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,25,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Kayaking,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,26,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Elliptical machine,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,27,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Rowing machine,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,28,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Table tennis,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,29,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Tennis,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,30,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Golf,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,31,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Basketball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,32,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Football,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,33,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Volleyball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,34,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Rock climbing,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,35,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Dance,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,36,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Roller skating,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,40,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Treadmill,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,41,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Indoor walking,Read-only reference. category: Walking,
sport_type_map,sport_type_code,INT16,42,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Trail running,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,43,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Race walking,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,44,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Playground running,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,45,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Fat loss running,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,50,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Outdoor cycling,Read-only reference. category: Cycling,
sport_type_map,sport_type_code,INT16,51,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Indoor cycling,Read-only reference. category: Cycling,
sport_type_map,sport_type_code,INT16,52,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Mountain biking,Read-only reference. category: Cycling,
sport_type_map,sport_type_code,INT16,53,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,BMX,Read-only reference. category: Cycling,
sport_type_map,sport_type_code,INT16,55,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Pool swimming,Read-only reference. category: Swimming,
sport_type_map,sport_type_code,INT16,56,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Open water swimming,Read-only reference. category: Swimming,
sport_type_map,sport_type_code,INT16,57,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Fin swimming,Read-only reference. category: Swimming,
sport_type_map,sport_type_code,INT16,58,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Synchronized swimming,Read-only reference. category: Swimming,
sport_type_map,sport_type_code,INT16,60,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Outdoor hiking,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,61,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Orienteering,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,62,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Fishing,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,63,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Hunting,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,64,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Skateboarding,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,65,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Parkour,Read-only reference. category: Outdoor,
sport_type_map,sport_type_code,INT16,70,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Marathon,Read-only reference. category: Running,
sport_type_map,sport_type_code,INT16,80,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Stair climber,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,81,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Stepper,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,82,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Mixed aerobics,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,83,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Kickboxing,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,84,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Core training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,85,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Cross training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,86,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Indoor fitness,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,87,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Group gymnastics,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,88,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Strength training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,89,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Gap training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,90,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Free training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,91,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Flexibility training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,92,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Gymnastics,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,93,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Stretching,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,94,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Pilates,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,95,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Horizontal bar,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,96,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Parallel bars,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,97,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Battle rope,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,98,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Fitness,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,99,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Balance training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,100,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Step training,Read-only reference. category: Indoor,
sport_type_map,sport_type_code,INT16,110,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Square dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,111,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Ballroom dancing,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,112,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Belly dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,113,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Ballet,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,114,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Street dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,115,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Zumba,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,116,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Latin dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,117,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Jazz dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,118,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Hip-hop dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,119,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Pole dancing,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,120,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Break dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,121,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Folk dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,122,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Music dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,123,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Modern dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,124,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Disco,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,125,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Tap dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,126,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Other dance,Read-only reference. category: Dance,
sport_type_map,sport_type_code,INT16,130,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Boxing,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,131,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Wrestling,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,132,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Martial arts,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,133,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Tai Chi,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,134,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Muay Thai,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,135,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Judo,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,136,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Taekwondo,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,137,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Karate,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,138,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Free fighting,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,139,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Swordsmanship,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,140,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Jiu-Jitsu,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,141,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Fencing,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,142,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Kendo,Read-only reference. category: Combat,
sport_type_map,sport_type_code,INT16,150,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Beach football,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,151,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Beach volleyball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,152,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Baseball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,153,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Softball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,154,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Rugby,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,155,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Hockey,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,156,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Squash,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,157,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Gateball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,158,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Cricket,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,159,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Handball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,160,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Bowling,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,161,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Polo,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,162,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Racquetball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,163,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Billiards,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,164,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Sepak takraw,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,165,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Dodgeball,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,166,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Water polo,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,167,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Ice hockey,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,168,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Shuttlecock,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,169,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Indoor football,Read-only reference. category: Ball sports,
sport_type_map,sport_type_code,INT16,180,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Outdoor rowing,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,181,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Sailing,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,182,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Dragon boat,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,183,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Surfing,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,184,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Kite surfing,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,185,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Paddling,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,186,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Paddleboard surfing,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,187,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Indoor surfing,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,188,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Rafting,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,189,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Snorkeling,Read-only reference. category: Water sports,
sport_type_map,sport_type_code,INT16,190,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Skiing,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,191,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Snowboarding,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,192,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Alpine skiing,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,193,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Cross-country skiing,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,194,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Ski orienteering,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,195,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Biathlon,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,196,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Outdoor skating,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,197,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Indoor skating,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,198,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Curling,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,199,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Bobsleigh,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,200,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Sled,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,201,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Snowmobile,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,202,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Snowshoe hiking,Read-only reference. category: Snow,
sport_type_map,sport_type_code,INT16,210,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Hula hoop,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,211,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Frisbee,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,212,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Darts,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,213,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Kite flying,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,214,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Tug of war,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,215,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Esports,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,221,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Bungee jumping,Read-only reference. category: Leisure,
sport_type_map,sport_type_code,INT16,222,,NOT NULL,SDK enum,OdmSportPlusExerciseModelType  SportPlusEntity.mSportType,Skydiving,Read-only reference. category: Leisure,
device,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique device record identifier,UUID v4.,
device,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Owner of this device.,One user can register multiple devices.,
device,mac_address,VARCHAR(17),E7:E9:42:AE:59:1B,,NOT NULL,Android SDK,BluetoothDevice.address from BleScannerHelper scan callback or BleOperateManager.connectStatue,Bluetooth MAC address. Primary device identifier.,Format: XX:XX:XX:XX:XX:XX uppercase colon-separated. Unique per user.,
device,device_name,VARCHAR(64),Q_Ring_01,,NULLABLE,Android SDK,BluetoothDevice.name from scan callback or connectStatue callback,Bluetooth advertised name.,Max 64 chars.,
device,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android SDK,Constants.CHAR_FIRMWARE_REVISION BLE characteristic read via onCharacteristicRead in QCBluetoothCallbackCloneReceiver,Latest firmware version. Updated on each connection.,Max 32 chars.,
device,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android SDK,Constants.CHAR_HW_REVISION BLE characteristic read via onCharacteristicRead,Latest hardware version.,Max 32 chars.,
device,battery_percent,INT8,82,%,NULLABLE,Android SDK,BatteryRsp.batteryValue (int) from CMD_GET_DEVICE_ELECTRICITY_VALUE,Last known battery 0–100. Updated on sync.,Range: 0–100.,
device,is_charging,BOOLEAN,FALSE,,NULLABLE,Android SDK,BatteryRsp.charging (boolean),Whether ring is currently charging. Updated with battery reading.,true or false.,
device,supports_temperature,BOOLEAN,TRUE,,NULLABLE,Android SDK,SetTimeRsp.mSupportTemperature (boolean) returned in SetTimeReq callback,Ring capability flag from SDK. Read after connection.,true or false.,
device,supports_hrv,BOOLEAN,TRUE,,NULLABLE,Android SDK,SetTimeRsp.mSupportHrv (boolean),Ring capability flag.,true or false.,
